Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2025-11-15 01:19:16,2025-11-16 00:08:54,UTC+05:30,2025-11-15 19:39:00,2025-11-15 20:37:29,58,Walking,7.2,306.0,151,114,91,2,0,0,0,false
2025-11-12 03:06:52,2025-11-13 00:43:38,UTC+05:30,2025-11-12 13:15:41,2025-11-12 13:47:56,32,Running,5.3,131.0,135,105,70,0,0,0,0,false
2025-11-09 02:58:34,2025-11-10 03:17:02,UTC+05:30,2025-11-09 21:03:00,2025-11-09 21:19:29,16,Walking,5.4,113.0,147,121,73,20,0,0,0,false
2025-11-08 02:49:24,2025-11-09 02:58:34,UTC+05:30,2025-11-08 16:31:30,2025-11-08 16:50:59,19,Walking,4.6,64.0,128,104,42,0,0,0,0,false
2025-11-08 02:49:24,2025-11-09 02:58:34,UTC+05:30,2025-11-08 10:31:30,2025-11-08 10:46:29,14,Walking,4.8,77.0,131,113,93,0,0,0,0,false
2025-11-07 01:30:16,2025-11-08 02:49:24,UTC+05:30,2025-11-07 15:45:00,2025-11-07 16:55:59,70,Hiking,13.0,534.0,182,124,42,6,7,15,4,false
2025-11-07 01:30:16,2025-11-08 02:49:24,UTC+05:30,2025-11-07 12:48:00,2025-11-07 13:04:29,16,Activity,6.2,141.0,158,129,51,35,12,0,0,false
2025-11-05 03:04:38,2025-11-06 01:07:59,UTC+05:30,2025-11-05 21:27:00,2025-11-05 23:19:10,112,Badminton,14.8,1064.0,174,133,36,41,20,0,0,false
2025-11-03 04:17:28,2025-11-04 02:51:47,UTC+05:30,2025-11-03 17:52:30,2025-11-03 18:14:59,22,Walking,5.1,102.0,137,110,69,0,0,0,0,false
2025-10-31 01:44:22,2025-11-01 02:33:16,UTC+05:30,2025-10-31 20:18:00,2025-10-31 22:10:48,112,Badminton,18.1,1389.0,183,147,9,21,39,22,4,false
